idx D_km lam beta x1 y1 z1 x2 y2 z2 flux5 flux6 flux7 flux8 flux9 flux10 flux11 flux12 flux13 flux14 flux15 flux16 flux17 flux18 flux19 flux20
0 1.0 197.5728614138369 73.17998985981222 0.8593346624082562 0.6799840900654357 0.29231354966512185 0.05164479742793351 0.14474840372398887 0.060721976228527166 74281.0 167808.0 281513.0 395426.0 496305.0 578125.0 639814.0 682972.0 710313.0 724785.0 729132.0 725720.0 716504.0 703052.0 686602.0 668113.0
1 1.0 257.468171894071 49.328519885754986 0.8593346624082562 0.6799840900654357 0.29231354966512185 0.05164479742793351 0.14474840372398887 0.060721976228527166 74305.0 167842.0 281538.0 395422.0 496252.0 578013.0 639639.0 682734.0 710017.0 724438.0 728742.0 725295.0 716052.0 702580.0 686115.0 667617.0
2 1.0 216.99481538579178 -30.033872634844457 0.8593346624082562 0.6799840900654357 0.29231354966512185 0.05164479742793351 0.14474840372398887 0.060721976228527166 74264.0 167799.0 281529.0 395476.0 496389.0 578241.0 639955.0 683130.0 710482.0 724958.0 729303.0 725885.0 716660.0 703197.0 686735.0 668233.0
3 1.0 196.15794587888288 -75.40174980216058 0.8593346624082562 0.6799840900654357 0.29231354966512185 0.05164479742793351 0.14474840372398887 0.060721976228527166 74362.0 167927.0 281640.0 395531.0 496366.0 578129.0 639752.0 682837.0 710101.0 724493.0 728759.0 725267.0 715974.0 702451.0 685933.0 667383.0
4 1.0 152.5157277620057 -16.69658914551468 0.8593346624082562 0.6799840900654357 0.29231354966512185 0.05164479742793351 0.14474840372398887 0.060721976228527166 74308.0 167819.0 281465.0 395277.0 496028.0 577707.0 639255.0 682280.0 709505.0 723878.0 728145.0 724671.0 715409.0 701927.0 685458.0 666962.0
5 1.0 232.5218807039962 -48.19785440923031 0.8593346624082562 0.6799840900654357 0.29231354966512185 0.05164479742793351 0.14474840372398887 0.060721976228527166 74359.0 167933.0 281660.0 395562.0 496400.0 578155.0 639762.0 682825.0 710068.0 724442.0 728695.0 725198.0 715905.0 702388.0 685882.0 667348.0
6 1.0 157.5313960545693 -66.15222574356306 0.8593346624082562 0.6799840900654357 0.29231354966512185 0.05164479742793351 0.14474840372398887 0.060721976228527166 74363.0 167929.0 281634.0 395506.0 496310.0 578034.0 639615.0 682662.0 709896.0 724269.0 728526.0 725036.0 715754.0 702248.0 685754.0 667231.0
7 1.0 321.03828028154874 -80.38310727837145 0.8593346624082562 0.6799840900654357 0.29231354966512185 0.05164479742793351 0.14474840372398887 0.060721976228527166 74327.0 167876.0 281582.0 395473.0 496315.0 578090.0 639730.0 682839.0 710134.0 724563.0 728870.0 725423.0 716176.0 702699.0 686226.0 667719.0
8 1.0 346.91859378037054 40.60698555790418 0.8593346624082562 0.6799840900654357 0.29231354966512185 0.05164479742793351 0.14474840372398887 0.060721976228527166 74390.0 167962.0 281652.0 395490.0 496256.0 577950.0 639519.0 682574.0 709835.0 724250.0 728560.0 725129.0 715908.0 702463.0 686027.0 667559.0
9 1.0 138.03894677727996 -87.94305744749441 0.8593346624082562 0.6799840900654357 0.29231354966512185 0.05164479742793351 0.14474840372398887 0.060721976228527166 74327.0 167876.0 281580.0 395468.0 496302.0 578065.0 639688.0 682775.0 710044.0 724446.0 728725.0 725249.0 715975.0 702472.0 685976.0 667447.0
