idx D_km lam beta x1 y1 z1 x2 y2 z2 flux5 flux6 flux7 flux8 flux9 flux10 flux11 flux12 flux13 flux14 flux15 flux16 flux17 flux18 flux19 flux20
0 1.0 197.5728614138369 73.17998985981222 1.0226136026617623 0.2266856709814092 0.08785787163817539 0.06660172920498394 -0.010932738154595001 -0.01577433430168581 588135.0 1264403.0 2047151.0 2800032.0 3442696.0 3945141.0 4308499.0 4548953.0 4687769.0 4746094.0 4742669.0 4693126.0 4610032.0 4503257.0 4380423.0 4247340.0
1 1.0 257.468171894071 49.328519885754986 1.0226136026617623 0.2266856709814092 0.08785787163817539 0.06660172920498394 -0.010932738154595001 -0.01577433430168581 588193.0 1264489.0 2047231.0 2800048.0 3442583.0 3944850.0 4308006.0 4548263.0 4686910.0 4745104.0 4741594.0 4692010.0 4608917.0 4502178.0 4379409.0 4246412.0
2 1.0 216.99481538579178 -30.033872634844457 1.0226136026617623 0.2266856709814092 0.08785787163817539 0.06660172920498394 -0.010932738154595001 -0.01577433430168581 589111.0 1266035.0 2049178.0 2802049.0 3444296.0 3946015.0 4308466.0 4547955.0 4685843.0 4743339.0 4739217.0 4689119.0 4605613.0 4498555.0 4375550.0 4242391.0
3 1.0 196.15794587888288 -75.40174980216058 1.0226136026617623 0.2266856709814092 0.08785787163817539 0.06660172920498394 -0.010932738154595001 -0.01577433430168581 588122.0 1264304.0 2046905.0000000002 2799578.0 3441984.0 3944149.0 4307235.0 4547455.0 4686093.0 4744302.0 4740824.0 4691284.0 4608242.0 4501557.0 4378841.0 4245897.0
4 1.0 152.5157277620057 -16.69658914551468 1.0226136026617623 0.2266856709814092 0.08785787163817539 0.06660172920498394 -0.010932738154595001 -0.01577433430168581 588836.0 1265502.0 2048455.9999999998 2801325.0 3443815.0 3945998.0 4309071.0 4549261.0 4687856.0 4746013.0 4742473.0 4692861.0 4609737.0 4502964.0 4380154.0 4247111.0
5 1.0 232.5218807039962 -48.19785440923031 1.0226136026617623 0.2266856709814092 0.08785787163817539 0.06660172920498394 -0.010932738154595001 -0.01577433430168581 588262.0 1264292.0 2046584.0000000002 2798919.0 3441060.0 3943066.0 4306092.0 4546317.0 4684996.0 4743256.0 4739824.0 4690316.0 4607289.0 4500602.0 4377870.0 4244897.0
6 1.0 157.5313960545693 -66.15222574356306 1.0226136026617623 0.2266856709814092 0.08785787163817539 0.06660172920498394 -0.010932738154595001 -0.01577433430168581 588063.0 1264143.0 2046616.0000000002 2799173.0 3441492.0 3943595.0 4306632.0 4546801.0 4685379.0 4743516.0 4739956.0 4690324.0 4607186.0 4500403.0 4377592.0 4244556.0
7 1.0 321.03828028154874 -80.38310727837145 1.0226136026617623 0.2266856709814092 0.08785787163817539 0.06660172920498394 -0.010932738154595001 -0.01577433430168581 587801.0 1263899.0 2046557.0 2799390.0 3441991.0 3944329.0 4307533.0 4547807.0 4686440.0 4744597.0 4741036.0 4691395.0 4608244.0 4501452.0 4378636.0 4245600.0
8 1.0 346.91859378037054 40.60698555790418 1.0226136026617623 0.2266856709814092 0.08785787163817539 0.06660172920498394 -0.010932738154595001 -0.01577433430168581 588954.0 1265666.0 2048619.0 2801450.0 3443874.0 3945976.0 4308956.0 4549045.0 4687537.0 4745591.0 4741953.0 4692250.0 4609045.0 4502202.0 4379333.0 4246243.0
9 1.0 138.03894677727996 -87.94305744749441 1.0226136026617623 0.2266856709814092 0.08785787163817539 0.06660172920498394 -0.010932738154595001 -0.01577433430168581 587661.0 1263601.0 2046115.0 2798863.0 3441449.0 3943832.0 4307123.0 4547504.0 4686250.0 4744516.0 4741052.0 4691492.0 4608408.0 4501666.0 4378886.0 4245874.0
