idx D_km lam beta x1 y1 z1 x2 y2 z2 flux5 flux6 flux7 flux8 flux9 flux10 flux11 flux12 flux13 flux14 flux15 flux16 flux17 flux18 flux19 flux20
0 1.0 197.5728614138369 73.17998985981222 -0.11398422898879157 1.0527225333893824 0.43975693097622703 -0.1399415938506331 0.12980689785497654 0.040776088889054846 11098.0 33789.0 69881.0 114491.0 161567.0 206272.0 245634.0 278306.0 304052.0 323294.0 336773.0 345342.0 349841.0 351043.0 349619.0 346143.0
1 1.0 257.468171894071 49.328519885754986 -0.11398422898879157 1.0527225333893824 0.43975693097622703 -0.1399415938506331 0.12980689785497654 0.040776088889054846 10164.0 31225.0 65028.0 107140.0 151894.0 194676.0 232593.0 264281.0 289445.0 308430.0 321905.0 330657.0 335474.0 337085.0 336132.0 333161.0
2 1.0 216.99481538579178 -30.033872634844457 -0.11398422898879157 1.0527225333893824 0.43975693097622703 -0.1399415938506331 0.12980689785497654 0.040776088889054846 9363.0 27146.0 54651.0 88222.0 123536.0 157172.0 187015.0 212072.0 232133.0 247453.0 258525.0 265934.0 270267.0 272073.0 271837.0 269976.0
3 1.0 196.15794587888288 -75.40174980216058 -0.11398422898879157 1.0527225333893824 0.43975693097622703 -0.1399415938506331 0.12980689785497654 0.040776088889054846 8247.0 25590.0 53839.0 89557.0 128085.0 165469.0 199116.0 227704.0 250836.99999999997 268694.0 281766.0 290674.0 296066.0 298554.0 298685.0 296936.0
4 1.0 152.5157277620057 -16.69658914551468 -0.11398422898879157 1.0527225333893824 0.43975693097622703 -0.1399415938506331 0.12980689785497654 0.040776088889054846 12472.0 37597.0 77126.0 125497.0 176058.0 223625.0 265110.0 299191.0 325732.0 345274.0 358675.0 366887.0 370837.0 371358.0 369174.0 364893.0
5 1.0 232.5218807039962 -48.19785440923031 -0.11398422898879157 1.0527225333893824 0.43975693097622703 -0.1399415938506331 0.12980689785497654 0.040776088889054846 14443.0 38655.0 73637.0 114193.0 155134.0 192786.0 225144.0 251471.99999999997 271847.0 286781.0 296981.0 303193.0 306130.0 306426.0 304632.0 301208.0
6 1.0 157.5313960545693 -66.15222574356306 -0.11398422898879157 1.0527225333893824 0.43975693097622703 -0.1399415938506331 0.12980689785497654 0.040776088889054846 6720.0 21851.0 47475.0 80822.0 117606.0 153955.0 187191.0 215843.0 239365.0 257815.00000000003 271591.0 281248.0 287390.0 290603.0 291418.0 290304.0
7 1.0 321.03828028154874 -80.38310727837145 -0.11398422898879157 1.0527225333893824 0.43975693097622703 -0.1399415938506331 0.12980689785497654 0.040776088889054846 11003.0 32778.0 66977.0 108991.0 153230.0 195248.0 232316.0 263182.0 287618.0 305995.0 318987.0 327372.0 331926.0 333360.0 332300.0 329280.0
8 1.0 346.91859378037054 40.60698555790418 -0.11398422898879157 1.0527225333893824 0.43975693097622703 -0.1399415938506331 0.12980689785497654 0.040776088889054846 7993.999999999999 25300.0 53888.0 90369.0 129963.0 168546.0 203379.0 233042.0 257087.99999999997 275680.0 289312.0 298624.0 304282.0 306920.0 307109.0 305342.0
9 1.0 138.03894677727996 -87.94305744749441 -0.11398422898879157 1.0527225333893824 0.43975693097622703 -0.1399415938506331 0.12980689785497654 0.040776088889054846 8306.0 26091.0 55305.0 92429.0 132588.0 171609.0 206746.0 236591.0 260718.0 279313.0 292890.0 302106.0 307641.0 310141.0 310181.0 308262.0
