idx D_km lam beta x1 y1 z1 x2 y2 z2 flux5 flux6 flux7 flux8 flux9 flux10 flux11 flux12 flux13 flux14 flux15 flux16 flux17 flux18 flux19 flux20
0 1.0 197.5728614138369 73.17998985981222 -0.5789022268132226 -1.0220819335174638 -0.21907921028256822 -0.18259269280240223 -0.20283463016357323 0.13714679010576455 2883.0 9209.0 19796.0 33480.0 48514.0 63337.00000000001 76874.0 88539.0 98114.0 105627.0 111237.0 115173.0 117678.0 118990.0 119324.0 118872.0
1 1.0 257.468171894071 49.328519885754986 -0.5789022268132226 -1.0220819335174638 -0.21907921028256822 -0.18259269280240223 -0.20283463016357323 0.13714679010576455 5477.0 16105.999999999998 32543.999999999996 52440.0 73087.0 92412.0 109200.0 122947.0 133619.0 141448.0 146789.0 150033.0 151555.0 151695.0 150744.0 148950.0
2 1.0 216.99481538579178 -30.033872634844457 -0.5789022268132226 -1.0220819335174638 -0.21907921028256822 -0.18259269280240223 -0.20283463016357323 0.13714679010576455 10670.0 26354.0 47257.0 69915.0 91482.0 110268.0 125567.00000000001 137317.0 145806.0 151474.0 154795.0 156218.0 156140.0 154898.0 152770.0 149984.0
3 1.0 196.15794587888288 -75.40174980216058 -0.5789022268132226 -1.0220819335174638 -0.21907921028256822 -0.18259269280240223 -0.20283463016357323 0.13714679010576455 3314.0 10136.0 21126.0 34921.0 49730.0 64054.0 76924.0 87850.0 96690.0 103518.0 108522.0 111940.0 114018.0 114988.0 115057.0 114407.0
4 1.0 152.5157277620057 -16.69658914551468 -0.5789022268132226 -1.0220819335174638 -0.21907921028256822 -0.18259269280240223 -0.20283463016357323 0.13714679010576455 3888.0 12093.0 25419.0 42178.0 60131.0 77409.0 92818.0 105772.0 116123.0 123989.0 129624.99999999999 133340.0 135448.0 136242.0 135980.0 134884.0
5 1.0 232.5218807039962 -48.19785440923031 -0.5789022268132226 -1.0220819335174638 -0.21907921028256822 -0.18259269280240223 -0.20283463016357323 0.13714679010576455 6872.0 17922.0 33478.0 51130.0 68624.0 84447.0 97827.0 108534.0 116665.0 122482.0 126313.00000000001 128495.0 129336.0 129109.0 128046.0 126340.00000000001
6 1.0 157.5313960545693 -66.15222574356306 -0.5789022268132226 -1.0220819335174638 -0.21907921028256822 -0.18259269280240223 -0.20283463016357323 0.13714679010576455 3389.0 10504.0 22071.0 36667.0 52381.0 67603.0 81281.0 92885.0 102259.0 109483.0 114760.0 118346.0 120504.0 121485.0 121512.0 120778.0
7 1.0 321.03828028154874 -80.38310727837145 -0.5789022268132226 -1.0220819335174638 -0.21907921028256822 -0.18259269280240223 -0.20283463016357323 0.13714679010576455 2837.0 8920.0 18965.0 31823.999999999996 45853.0 59615.0 72139.0 82903.0 91725.0 98640.0 103804.0 107428.0 109738.0 110953.0 111271.0 110865.0
8 1.0 346.91859378037054 40.60698555790418 -0.5789022268132226 -1.0220819335174638 -0.21907921028256822 -0.18259269280240223 -0.20283463016357323 0.13714679010576455 2825.0 8998.0 19316.0 32644.0 47283.0 61715.0 74898.0 86260.0 95592.0 102918.0 108395.0 112243.0 114699.0 115993.0 116336.0 115911.0
9 1.0 138.03894677727996 -87.94305744749441 -0.5789022268132226 -1.0220819335174638 -0.21907921028256822 -0.18259269280240223 -0.20283463016357323 0.13714679010576455 3003.0 9416.0 19964.0 33415.0 48038.0 62331.0 75293.0 86392.0 95451.0 102518.0 107762.0 111409.0 113698.0 114858.0 115095.0 114592.0
