idx D_km lam beta x1 y1 z1 x2 y2 z2 flux5 flux6 flux7 flux8 flux9 flux10 flux11 flux12 flux13 flux14 flux15 flux16 flux17 flux18 flux19 flux20
0 1.0 197.5728614138369 73.17998985981222 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 1885.0 6530.0 14838.0 26120.0 39006.0 52127.0 64453.0 75359.0 84552.0 91977.0 97719.0 101943.0 104843.0 106618.0 107456.0 107525.0
1 1.0 257.468171894071 49.328519885754986 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 2013.0 6906.0 15578.0 27268.0 40535.0 53971.0 66530.0 77588.0 86865.0 94317.0 100045.0 104223.0 107057.0 108752.0 109501.0 109478.0
2 1.0 216.99481538579178 -30.033872634844457 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 12140.0 30288.0 54604.0 81001.0 106100.0 127896.00000000001 145559.0 159029.0 168660.0 174984.0 178569.0 179953.0 179606.0 177926.0 175241.0 171815.0
3 1.0 196.15794587888288 -75.40174980216058 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 5200.0 15622.0 31975.000000000004 51947.0 72793.0 92381.0 109448.0 123456.0 134354.0 142368.0 147854.0 151206.0 152806.0 152996.0 152076.0 150295.0
4 1.0 152.5157277620057 -16.69658914551468 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 9581.0 24775.0 45866.0 69442.0 92440.0 112891.0 129861.0 143145.0 152953.0 159700.0 163863.0 165914.0 166277.0 165318.0 163343.0 160604.0
5 1.0 232.5218807039962 -48.19785440923031 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 7697.0 21199.0 40937.0 63825.99999999999 86777.0 107636.0 125274.0 139329.0 149913.0 157382.0 162187.0 164790.0 165617.0 165041.0 163378.0 160890.0
6 1.0 157.5313960545693 -66.15222574356306 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 6408.0 18505.0 36862.0 58718.0 81070.0 101707.0 119396.0 133678.0 144588.0 152428.0 157615.0 160590.0 161769.0 161518.0 160154.0 157936.0
7 1.0 321.03828028154874 -80.38310727837145 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 2376.0 8074.0 18062.0 31385.000000000004 46353.0 61355.0 75230.0 87311.0 97321.0 105247.0 111229.0 115486.0 118259.0 119790.0 120300.0 119983.0
8 1.0 346.91859378037054 40.60698555790418 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 13067.0 32897.0 59608.0 88654.0 116247.0 140137.0 159400.0 173984.0 184299.0 190953.0 194591.0 195818.0 195162.0 193067.0 189895.0 185939.0
9 1.0 138.03894677727996 -87.94305744749441 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 2983.0 9861.0 21593.0 36882.0 53710.0 70267.0 85314.0 98188.0 108659.0 116778.0 122746.0 126836.0 129335.0 130519.0 130636.0 129901.99999999999
10 1.0 285.02101370975925 48.70453473049972 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 2844.0 9457.0 20802.0 35659.0 52081.0 68301.0 83095.0 95799.0 106172.0 114249.0 120220.0 124346.0 126903.99999999999 128162.0 128363.0 127718.0
11 1.0 190.40217111104562 -63.549603827932486 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 8407.0 23069.0 44365.0 68897.0 93318.0 115347.0 133821.0 148404.0 159259.0 166797.0 171519.0 173932.0 174494.0 173607.0 171606.0 168765.0
12 1.0 204.49604199381562 -75.68602513438397 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 5042.0 15235.0 31304.0 51002.0 71624.0 91053.0 108021.0 121981.0 132871.0 140905.0 146431.0 149835.0 151494.0 151748.0 150892.0 149174.0
13 1.0 333.214789785358 -73.87145383705104 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 2101.0 7203.0 16235.0 28393.0 42172.0 56101.0 69097.0 80516.0 90071.0 97724.0 103584.0 107836.0 110695.0 112377.0 113084.0 112996.0
14 1.0 25.5729809512393 30.968605323704594 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 14215.0 34617.0 61310.0 89724.0 116281.0 138976.0 157069.0 170614.0 180070.0 186053.0 189195.0 190079.0 189207.0 186999.0 183795.0 179870.0
15 1.0 31.366547892554657 -45.83390222648794 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 2107.0 6923.0 15188.0 26095.0 38294.0 50522.0 61869.0 71808.0 80113.0 86764.0 91864.0 95574.0 98082.0 99572.0 100219.0 100177.0
16 1.0 7.278623078517259 -14.302895997582283 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 7556.0 19350.0 35680.0 53978.0 71929.0 88027.0 101537.0 112266.0 120346.0 126065.00000000001 129771.0 131811.0 132504.0 132128.0 130918.0 129068.99999999999
17 1.0 299.74314439725765 10.326382438305046 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 3305.0 10634.0 22872.0 38577.0 55667.0 72333.0 87370.0 100152.0 110485.0 118443.0 124245.0 128174.00000000001 130523.0 131570.0 131563.0 130719.0
18 1.0 280.13643034194615 64.89921128918289 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 2727.0 9127.0 20172.0 34707.0 50839.0 66829.0 81461.0 94065.0 104391.0 112463.0 118458.0 122628.0 125245.0 126569.99999999999 126843.00000000001 126271.0
19 1.0 313.2043733688549 40.8679672880391 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 6179.0 17872.0 35664.0 56912.0 78708.0 98896.0 116260.0 130333.0 141131.0 148938.0 154150.0 157193.0 158467.0 158332.0 157093.0 155006.0
20 1.0 352.30260320379506 -41.34097705703137 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 2629.0 8306.0 17732.0 29858.0 43151.0 56250.0 68225.0 78565.0 87082.0 93796.0 98846.0 102424.0 104743.0 106008.0 106406.0 106102.0
21 1.0 287.6970831180205 -66.33309612759703 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 2562.0 8628.0 19169.0 33125.0 48699.0 64213.00000000001 78480.0 90830.0 101001.0 108998.0 114984.0 119192.0 121881.0 123302.0 123685.0 123233.0
22 1.0 166.13257041105547 -80.03262232418437 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 4110.0 12892.0 27187.0 45141.0 64310.00000000001 82676.0 98966.0 112574.0 123366.0 131489.0 137232.0 140940.0 142953.0 143590.0 143127.0 141803.0
23 1.0 280.99050346312396 -35.712245793430355 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 2477.0 8365.0 18626.0 32246.999999999996 47486.0 62705.0 76735.0 88912.0 98970.0 106905.0 112869.0 117086.0 119808.0 121279.0 121724.0 121341.0
24 1.0 42.57879331281596 -42.818733136857915 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 2054.0 6798.0 14986.0 25835.0 38008.0 50240.0 61615.0 71596.0 79952.0 86657.0 91809.0 95568.0 98120.0 99649.0 100329.0 100316.0
25 1.0 230.3715676779086 -7.894697975913658 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 6875.0 18425.0 35050.0 54212.0 73423.0 90951.0 105881.0 117904.0 127090.00000000001 133711.0 138117.0 140676.0 141730.0 141581.0 140488.0 138667.0
26 1.0 51.607183467256704 32.990640398582485 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 8061.000000000001 21543.0 40827.0 62892.0 84831.0 104670.0 121395.0 134702.0 144718.0 151787.0 156339.0 158808.0 159598.0 159058.0 157487.0 155130.0
27 1.0 340.0808101378502 35.21258021499429 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 12402.0 31385.000000000004 57092.0 85181.0 111986.0 135298.0 154188.0 168571.0 178821.0 185511.0 189257.0 190640.0 190170.0 188280.0 185321.0 181579.0
28 1.0 187.8653958300258 -38.96660761521 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 15163.0 37084.0 65830.0 96439.0 125013.99999999999 149369.0 168710.0 183107.0 193069.0 199278.0 202429.0 203158.0 202014.0 199452.0 195840.0 191475.0
29 1.0 149.2782983965885 -21.61314793797831 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 9191.0 24103.0 45051.0 68667.0 91853.0 112576.0 129847.99999999999 143422.0 153490.0 160456.0 164797.0 166985.0 167449.0 166562.0 164634.0 161922.0
0 1.0 95.24002035766571 -57.39282688735745 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 2324.0 7944.0 17843.0 31089.0 46004.0 60978.0 74846.0 86933.0 96957.0 104902.0 110905.0 115183.0 117976.0 119526.0 120052.0 119751.0
1 1.0 278.724128196318 51.93819221517336 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 2557.0 8619.0 19158.0 33116.0 48696.0 64219.0 78495.0 90855.0 101034.0 109039.0 115031.0 119243.0 121935.0 123358.0 123743.0 123292.0
2 1.0 164.21411959795748 -79.76734624201674 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 4125.0 12932.0 27258.0 45244.0 64441.0 82829.0 99134.0 112750.0 123546.0 131669.0 137410.0 141113.0 143121.0 143751.0 143282.0 141951.0
3 1.0 204.63622159271347 35.459503510497726 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 2933.0 8940.0 18645.0 30900.0 44150.0 57071.0 68782.0 78820.0 87031.0 93457.0 98249.0 101607.0 103743.0 104860.0 105143.0 104754.0
4 1.0 6.764328157087851 50.1651712693986 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 12382.0 31538.999999999996 57613.0 86193.0 113516.0 137302.0 156582.0 171261.0 181715.0 188529.0 192335.0 193727.0 193229.0 191281.0 188246.0 184415.0
5 1.0 222.34877894731574 49.93336113277556 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 1942.0 6536.0 14569.0 25310.0 37446.0 49707.0 61160.0 71249.0 79725.0 86550.0 91815.0 95675.0 98314.0 99916.0 100656.0 100689.0
6 1.0 220.3544601800717 -43.303938417836115 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 10515.0 27278.0 50523.0 76415.0 101538.0 123728.0 141991.0 156140.0 166446.0 173394.0 177532.0 179388.0 179437.0 178082.0 175660.0 172443.0
7 1.0 222.0962388749125 -22.713635172138936 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 10580.0 26742.0 48707.0 72854.0 96085.0 116492.0 133234.0 146182.0 155608.0 161967.0 165761.0 167472.0 167531.0 166306.0 164100.0 161163.0
8 1.0 339.7493082652647 15.76793433535002 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 11794.0 29468.0 53197.0 79007.0 103598.0 124997.0 142380.0 155674.0 165215.0 171516.0 175130.0 176578.0 176321.0 174749.0 172181.0 168877.0
9 1.0 245.45530767725404 -40.892057563595934 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 5744.0 16634.0 33272.0 53240.0 73836.0 93029.0 109645.0 123213.0 133718.0 141403.0 146626.0 149776.0 151228.0 151316.0 150331.0 148514.0
10 1.0 129.42284420656296 -23.246496140780025 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 4730.0 14171.0 29036.0 47301.0 66509.0 84712.0 100719.0 113995.0 124452.0 132263.0 137732.0 141205.0 143025.0 143503.0 142914.0 141490.0
11 1.0 157.33150336776293 -54.530229566584865 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 8751.0 23787.0 45462.0 70293.0 94910.0 117039.0 135539.0 150097.0 160894.0 168355.0 172991.0 175314.0 175788.0 174815.0 172732.0 169816.0
12 1.0 251.14723053381536 -7.225940923918671 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 3533.0 10952.0 23009.0 38215.0 54573.0 70403.0 84611.0 96646.0 106352.0 113813.0 119244.0 122914.0 125100.99999999999 126066.00000000001 126041.99999999999 125230.00000000001
13 1.0 21.68116978653714 -81.96978577425946 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 2257.0 7710.0 17321.0 30203.0 44738.0 59364.0 72945.0 84815.0 94690.0 102546.0 108509.0 112786.0 115608.0 117208.0 117799.0 117573.0
14 1.0 240.03601756044037 53.96325922271123 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 1890.0 6480.0 14621.0 25612.0 38115.0 50810.0 62712.00000000001 73229.0 82086.0 89236.0 94764.0 98830.0 101622.0 103332.0 104139.0 104206.0
15 1.0 241.4296330625374 -76.1478395424061 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 3963.0000000000005 12501.0 26468.0 44079.0 62944.0 81071.0 97193.0 110697.0 121437.0 129550.0 135314.0 139063.0 141133.0 141834.0 141442.0 140190.0
16 1.0 75.73772198658273 3.3903267896746883 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 2594.0 8503.0 18576.0 31756.0 46362.0 60856.0 74161.0 85678.0 95175.0 102662.0 108288.0 112268.0 114839.0 116232.0 116657.0 116300.0
17 1.0 46.41346715574719 -34.7741820818647 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 2290.0 7405.0 16070.000000000002 27393.0 39963.0 52485.0 64043.0 74115.0 82488.0 89157.0 94236.0 97896.0 100335.0 101744.0 102301.0 102164.0
18 1.0 113.55420633270619 13.957730789647584 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 2068.0 7160.0 16237.000000000002 28509.0 42453.0 56572.0 69754.0 81339.0 91031.0 98790.0 104726.0 109028.0 111914.0 113606.0 114308.0 114205.0
19 1.0 130.93587753934415 82.69800135001651 1.1596350774708668 0.2024443074910442 0.32294906653546707 0.19635446081571944 -0.004184214811694022 0.2328677726681782 2408.0 8199.0 18358.0 31906.999999999996 47117.0 62346.0 76413.0 88643.0 98759.0 106752.0 112769.0 117034.0 119797.0 121301.0 121774.0 121414.0
