idx D_km lam beta x1 y1 z1 x2 y2 z2 flux5 flux6 flux7 flux8 flux9 flux10 flux11 flux12 flux13 flux14 flux15 flux16 flux17 flux18 flux19 flux20
0 1.0 197.5728614138369 73.17998985981222 1.1515456302814915 0.21380741209146226 0.32516174268321163 0.21166348554694692 -0.07532044121000642 0.19882632322235078 1906.0 6670.0 15249.0 26952.0 40356.0 54030.0 66890.0 78276.0 87878.0 95633.0 101632.0 106043.0 109071.0 110923.0 111795.0 111866.0
1 1.0 257.468171894071 49.328519885754986 1.1515456302814915 0.21380741209146226 0.32516174268321163 0.21166348554694692 -0.07532044121000642 0.19882632322235078 1829.0 6390.0 14608.0 25832.0 38713.0 51881.0 64297.99999999999 75323.0 84651.0 92214.0 98091.0 102441.0 105454.0 107330.0 108255.0 108398.0
2 1.0 216.99481538579178 -30.033872634844457 1.1515456302814915 0.21380741209146226 0.32516174268321163 0.21166348554694692 -0.07532044121000642 0.19882632322235078 11008.0 27517.0 49747.0 74027.0 97278.0 117630.0 134279.0 147124.0 156451.0 162722.0 166443.0 168097.0 168113.0 166855.0 164627.0 161675.0
3 1.0 196.15794587888288 -75.40174980216058 1.1515456302814915 0.21380741209146226 0.32516174268321163 0.21166348554694692 -0.07532044121000642 0.19882632322235078 5069.0 15301.0 31445.0 51265.0 72056.0 91688.0 108876.0 123057.0 134155.0 142378.0 148068.0 151611.0 153382.0 153725.0 152936.0 151266.0
4 1.0 152.5157277620057 -16.69658914551468 1.1515456302814915 0.21380741209146226 0.32516174268321163 0.21166348554694692 -0.07532044121000642 0.19882632322235078 11371.0 29218.0 53763.0 80934.0 107167.0 130237.99999999999 149149.0 163736.0 174306.0 181377.0 185530.0 187320.0 187243.0 185719.0 183098.0 179663.0
5 1.0 232.5218807039962 -48.19785440923031 1.1515456302814915 0.21380741209146226 0.32516174268321163 0.21166348554694692 -0.07532044121000642 0.19882632322235078 6796.0 18868.0 36721.0 57672.0 78933.0 98498.0 115265.0 128828.0 139231.0 146755.0 151787.0 154733.0 155977.0 155861.0 154679.0 152675.0
6 1.0 157.5313960545693 -66.15222574356306 1.1515456302814915 0.21380741209146226 0.32516174268321163 0.21166348554694692 -0.07532044121000642 0.19882632322235078 6547.0 18912.0 37688.0 60062.0 82961.0 104122.0 122278.0 136952.0 148176.0 156256.0 161615.0 164705.0 165950.0 165725.0 164354.0 162105.0
7 1.0 321.03828028154874 -80.38310727837145 1.1515456302814915 0.21380741209146226 0.32516174268321163 0.21166348554694692 -0.07532044121000642 0.19882632322235078 2412.0 8241.0 18498.0 32213.0 47644.0 63127.0 77458.0 89942.0 100291.0 108488.0 114678.0 119085.0 121960.0 123550.0 124084.0 123764.0
8 1.0 346.91859378037054 40.60698555790418 1.1515456302814915 0.21380741209146226 0.32516174268321163 0.21166348554694692 -0.07532044121000642 0.19882632322235078 13793.0 34661.0 62711.0 93152.0 122013.0 146950.0 167013.0 182159.0 192833.0 199679.0 203376.0 204562.0 203789.0 201522.0 198141.0 193950.0
9 1.0 138.03894677727996 -87.94305744749441 1.1515456302814915 0.21380741209146226 0.32516174268321163 0.21166348554694692 -0.07532044121000642 0.19882632322235078 2990.0 9930.0 21817.0 37353.0 54496.0 71398.0 86788.0 99980.0 110732.0 119087.0 125246.0 129484.99999999999 132095.0 133356.0 133521.0 132811.0
10 1.0 285.02101370975925 48.70453473049972 1.1515456302814915 0.21380741209146226 0.32516174268321163 0.21166348554694692 -0.07532044121000642 0.19882632322235078 2744.0 9242.0 20509.0 35383.0 51930.0 68359.0 83415.0 96402.0 107055.0 115394.0 121599.0 125925.00000000001 128650.99999999999 130045.0 130354.0 129790.99999999999
11 1.0 190.40217111104562 -63.549603827932486 1.1515456302814915 0.21380741209146226 0.32516174268321163 0.21166348554694692 -0.07532044121000642 0.19882632322235078 8235.0 22632.0 43615.0 67879.0 92137.0 114118.0 132645.0 147354.0 158382.0 166115.0 171041.0 173652.0 174401.0 173685.0 171836.0 169130.0
12 1.0 204.49604199381562 -75.68602513438397 1.1515456302814915 0.21380741209146226 0.32516174268321163 0.21166348554694692 -0.07532044121000642 0.19882632322235078 4888.0 14846.0 30644.0 50120.0 70621.0 90038.0 107086.0 121191.0 132264.0 140500.0 146229.0 149829.0 151669.0 152086.0 151374.0 149782.0
13 1.0 333.214789785358 -73.87145383705104 1.1515456302814915 0.21380741209146226 0.32516174268321163 0.21166348554694692 -0.07532044121000642 0.19882632322235078 2173.0 7493.0 16946.0 29691.0 44144.0 58754.0 72376.0 84333.0 94326.0 102316.0 108421.0 112837.0 115792.0 117515.0 118218.0 118091.0
14 1.0 25.5729809512393 30.968605323704594 1.1515456302814915 0.21380741209146226 0.32516174268321163 0.21166348554694692 -0.07532044121000642 0.19882632322235078 13647.0 33187.0 58759.0 86019.0 111556.0 133446.0 150969.0 164158.0 173438.0 179386.0 182600.0 183631.0 182959.0 180984.0 178033.0 174371.0
15 1.0 31.366547892554657 -45.83390222648794 1.1515456302814915 0.21380741209146226 0.32516174268321163 0.21166348554694692 -0.07532044121000642 0.19882632322235078 2163.0 7134.0 15694.0 27008.0 39680.0 52393.0 64196.0 74537.0 83180.0 90102.0 95409.0 99269.0 101877.0 103427.0 104098.0 104052.0
16 1.0 7.278623078517259 -14.302895997582283 1.1515456302814915 0.21380741209146226 0.32516174268321163 0.21166348554694692 -0.07532044121000642 0.19882632322235078 8308.0 21195.0 38962.0 58792.0 78175.0 95495.0 109973.0 121422.0 129998.0 136024.0 139882.0 141954.0 142584.0 142074.0 140678.0 138607.0
17 1.0 299.74314439725765 10.326382438305046 1.1515456302814915 0.21380741209146226 0.32516174268321163 0.21166348554694692 -0.07532044121000642 0.19882632322235078 3459.0 11197.0 24156.0 40801.0 58910.0 76550.0 92438.0 105914.0 116778.0 125115.0 131164.0 135229.0 137625.0 138649.0 138566.0 137606.0
18 1.0 280.13643034194615 64.89921128918289 1.1515456302814915 0.21380741209146226 0.32516174268321163 0.21166348554694692 -0.07532044121000642 0.19882632322235078 2639.0 8938.0 19919.0 34477.0 50730.0 66919.0 81799.0 94670.0 105259.0 113575.0 119788.0 124146.0 126920.0 128372.00000000001 128745.0 128250.0
19 1.0 313.2043733688549 40.8679672880391 1.1515456302814915 0.21380741209146226 0.32516174268321163 0.21166348554694692 -0.07532044121000642 0.19882632322235078 6603.0 19077.0 38011.0 60560.0 83620.0 104911.0 123162.0 137896.0 149151.0 157239.0 162589.0 165658.0 166872.0 166613.0 165204.0 162915.0
20 1.0 352.30260320379506 -41.34097705703137 1.1515456302814915 0.21380741209146226 0.32516174268321163 0.21166348554694692 -0.07532044121000642 0.19882632322235078 2977.0 9379.0 19967.0 33530.0 48332.0 62850.0 76057.0 87401.0 96690.0 103960.0 109378.0 113167.0 115569.0 116815.0 117115.0 116653.0
21 1.0 287.6970831180205 -66.33309612759703 1.1515456302814915 0.21380741209146226 0.32516174268321163 0.21166348554694692 -0.07532044121000642 0.19882632322235078 2530.0 8586.0 19178.0 33268.0 49054.0 64831.0 79382.0 92015.0 102450.0 110683.0 116870.0 121245.0 124067.0 125591.00000000001 126051.0 125652.00000000001
22 1.0 166.13257041105547 -80.03262232418437 1.1515456302814915 0.21380741209146226 0.32516174268321163 0.21166348554694692 -0.07532044121000642 0.19882632322235078 4088.9999999999995 12878.0 27242.0 45348.0 64740.00000000001 83375.0 99950.0 113839.0 124889.0 133239.0 139176.0 143042.0 145181.0 145913.0 145519.0 144240.0
23 1.0 280.99050346312396 -35.712245793430355 1.1515456302814915 0.21380741209146226 0.32516174268321163 0.21166348554694692 -0.07532044121000642 0.19882632322235078 2333.0 7972.999999999999 17908.0 31211.0 46204.0 61276.0 75257.0 87466.0 97616.0 105683.0 111802.0 116185.0 119073.0 120705.0 121302.0 121059.0
24 1.0 42.57879331281596 -42.818733136857915 1.1515456302814915 0.21380741209146226 0.32516174268321163 0.21166348554694692 -0.07532044121000642 0.19882632322235078 2040.0000000000002 6788.0 15023.0 25972.0 38293.0 50704.0 62270.0 72440.0 80971.0 87832.0 93116.0 96986.0 99626.0 101225.0 101957.0 101979.0
