idx D_km lam beta x1 y1 z1 x2 y2 z2 flux5 flux6 flux7 flux8 flux9 flux10 flux11 flux12 flux13 flux14 flux15 flux16 flux17 flux18 flux19 flux20
0 1.0 197.5728614138369 73.17998985981222 -0.4620727332215878 0.8783615876712876 0.4386405022853189 -0.18000784555306606 -0.007972773658639356 0.05536559531827186 17861.0 50843.0 100233.0 158450.0 217511.0 271681.0 317842.0 354901.0 383035.0 403099.0 416221.0 423577.0 426265.0 425254.0 421364.0 415279.0
1 1.0 257.468171894071 49.328519885754986 -0.4620727332215878 0.8783615876712876 0.4386405022853189 -0.18000784555306606 -0.007972773658639356 0.05536559531827186 9847.0 30263.0 63133.99999999999 104260.0 148192.0 190431.0 228111.0 259836.0 285253.0 304644.0 318621.0 327925.0 333311.0 335482.0 335063.0 332592.0
2 1.0 216.99481538579178 -30.033872634844457 -0.4620727332215878 0.8783615876712876 0.4386405022853189 -0.18000784555306606 -0.007972773658639356 0.05536559531827186 6283.0 19904.0 42600.0 71904.0 104146.0 136039.0 165307.0 190686.0 211687.0 228332.0 240936.0 249954.0 255890.99999999997 259239.0 260450.00000000003 259928.0
3 1.0 196.15794587888288 -75.40174980216058 -0.4620727332215878 0.8783615876712876 0.4386405022853189 -0.18000784555306606 -0.007972773658639356 0.05536559531827186 9711.0 30023.0 62900.0 104193.0 148432.0 191064.0 229165.0 261295.0 287073.0 306768.0 320990.0 330481.0 336003.0 338266.0 337903.0 335456.0
4 1.0 152.5157277620057 -16.69658914551468 -0.4620727332215878 0.8783615876712876 0.4386405022853189 -0.18000784555306606 -0.007972773658639356 0.05536559531827186 23870.0 63558.0 119916.0 183859.0 246845.0 303218.0 350200.0 387083.0 414375.0 433185.0 444826.0 450598.0 451682.0 449099.0 443701.0 436188.0
5 1.0 232.5218807039962 -48.19785440923031 -0.4620727332215878 0.8783615876712876 0.4386405022853189 -0.18000784555306606 -0.007972773658639356 0.05536559531827186 8734.0 25858.0 52831.0 86222.0 121755.0 155942.0 186555.0 212494.0 233462.0 249656.0 261529.99999999997 269651.0 274599.0 276922.0 277111.0 275592.0
6 1.0 157.5313960545693 -66.15222574356306 -0.4620727332215878 0.8783615876712876 0.4386405022853189 -0.18000784555306606 -0.007972773658639356 0.05536559531827186 8669.0 27735.0 59456.0 100090.0 144269.0 187333.0 226180.0 259209.00000000003 285916.0 306493.0 321506.0 331680.0 337773.0 340503.0 340509.0 338350.0
7 1.0 321.03828028154874 -80.38310727837145 -0.4620727332215878 0.8783615876712876 0.4386405022853189 -0.18000784555306606 -0.007972773658639356 0.05536559531827186 15937.0 44981.0 88511.0 140091.0 192827.0 241655.0 283726.0 317943.0 344341.0 363575.0 376578.0 384347.0 387834.0 387886.0 385236.0 380497.0
8 1.0 346.91859378037054 40.60698555790418 -0.4620727332215878 0.8783615876712876 0.4386405022853189 -0.18000784555306606 -0.007972773658639356 0.05536559531827186 12526.0 38024.0 78442.0 128228.00000000001 180585.0 230123.0 273572.0 309478.0 337627.0 358525.0 373027.0 382098.0 386687.0 387655.0 385754.0 381617.0
9 1.0 138.03894677727996 -87.94305744749441 -0.4620727332215878 0.8783615876712876 0.4386405022853189 -0.18000784555306606 -0.007972773658639356 0.05536559531827186 11322.0 34424.0 71211.0 116785.0 165019.0 210981.0 251608.0 285480.0 312315.0 332506.0 346786.0 356009.0 361025.0 362617.0 361473.0 358179.0
