idx D_km lam beta x1 y1 z1 x2 y2 z2 flux5 flux6 flux7 flux8 flux9 flux10 flux11 flux12 flux13 flux14 flux15 flux16 flux17 flux18 flux19 flux20
0 1.0 197.5728614138369 73.17998985981222 0.9724114612853006 -0.16202112517408276 -0.06719424102189168 0.005621734286026138 0.0006487713862363188 0.0022589967504754106 94882035.0 196404116.0 309555098.0 415020323.0 502489118.0 568873075.0 615208523.0 644336030.0 659559877.0 663996776.0 660321040.0 650710946.0 636885022.0 620170599.0 601577191.0 581863130.0
1 1.0 257.468171894071 49.328519885754986 0.9724114612853006 -0.16202112517408276 -0.06719424102189168 0.005621734286026138 0.0006487713862363188 0.0022589967504754106 94902083.0 196440550.0 309608981.0 415093605.0 502584604.0 568992965.0 615353295.0 644504155.0 659748152.0 664200925.0 660536323.0 650932653.0 637108813.0 620392693.0 601794453.0 582073072.0
2 1.0 216.99481538579178 -30.033872634844457 0.9724114612853006 -0.16202112517408276 -0.06719424102189168 0.005621734286026138 0.0006487713862363188 0.0022589967504754106 95094437.0 196752305.0 309997464.0 415509110.0 502991560.0 569374000.0 615705022.0 644831301.0 660058839.0 664503680.0 660838517.0 651239900.0 637424912.0 620719842.0 602133561.0 582424082.0
3 1.0 196.15794587888288 -75.40174980216058 0.9724114612853006 -0.16202112517408276 -0.06719424102189168 0.005621734286026138 0.0006487713862363188 0.0022589967504754106 94973491.0 196564020.0 309769415.0 415270686.0 502764034.0 569169297.0 615527896.0 644681966.0 659935033.0 664402030.0 660755361.0 651171723.0 637368561.0 620672604.0 602093166.0 582388667.0
4 1.0 152.5157277620057 -16.69658914551468 0.9724114612853006 -0.16202112517408276 -0.06719424102189168 0.005621734286026138 0.0006487713862363188 0.0022589967504754106 94968381.0 196559379.0 309770141.0 415282424.0 502791887.0 569216773.0 615596450.0 644771115.0 660042813.0 664525556.0 660891320.0 651316757.0 637519518.0 620826679.0 602247968.0 582542228.0
5 1.0 232.5218807039962 -48.19785440923031 0.9724114612853006 -0.16202112517408276 -0.06719424102189168 0.005621734286026138 0.0006487713862363188 0.0022589967504754106 94985253.0 196579980.0 309788094.0 415292284.0 502788001.0 569192853.0 615546337.0 644689816.0 659927168.0 664374402.0 660705289.0 651097889.0 637270822.0 620551740.0 601950619.0 582226313.0
6 1.0 157.5313960545693 -66.15222574356306 0.9724114612853006 -0.16202112517408276 -0.06719424102189168 0.005621734286026138 0.0006487713862363188 0.0022589967504754106 95000520.0 196593894.0 309780252.0 415238684.0 502670312.0 569003118.0 615286701.0 644369622.0 659559570.0 663973601.0 660284715.0 650669207.0 636843549.0 620133238.0 601546298.0 581839918.0
7 1.0 321.03828028154874 -80.38310727837145 0.9724114612853006 -0.16202112517408276 -0.06719424102189168 0.005621734286026138 0.0006487713862363188 0.0022589967504754106 94821706.0 196294037.0 309402498.0 414843980.0 502311320.0 568713744.0 615082317.0 644251719.0 659521019.0 664002922.0 660369005.0 650795907.0 637001372.0 620312553.0 601739183.0 582040047.0
8 1.0 346.91859378037054 40.60698555790418 0.9724114612853006 -0.16202112517408276 -0.06719424102189168 0.005621734286026138 0.0006487713862363188 0.0022589967504754106 95065423.0 196697132.0 309918423.0 415412542.0 502883884.0 569260121.0 615588160.0 644713315.0 659940622.0 664385500.0 660720282.0 651121339.0 637305700.0 620599677.0 602012207.0 582301384.0
9 1.0 138.03894677727996 -87.94305744749441 0.9724114612853006 -0.16202112517408276 -0.06719424102189168 0.005621734286026138 0.0006487713862363188 0.0022589967504754106 94881376.0 196434735.0 309647964.0 415207244.0 502797080.0 569319630.0 615800060.0 645068752.0 660422257.0 664972376.0 661391011.0 651855944.0 638086515.0 621411652.0 602842861.0 583140594.0
