 D lon lat flux5 flux8 X Y Z MirX MirY MirZ TI objid r delta alpha aspect_deg D_model D_true model eta etafit chi2
0 1.0 197.5728614138369 73.17998985981222 6066.0 33947.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 89.88007050909708 0.992 1 NEATM 0.996 1 0.0
1 1.0 257.468171894071 49.328519885754986 6074.0 34028.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 85.85767377164694 0.994 1 NEATM 0.998 1 0.0
2 1.0 216.99481538579175 -30.033872634844457 6106.0 34126.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 24.0156575835799 0.993 1 NEATM 0.994 1 0.0
3 1.0 196.15794587888288 -75.40174980216058 6031.0 33730.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 58.71838764289262 0.988 1 NEATM 0.995 1 0.0
4 1.0 152.5157277620057 -16.69658914551468 6058.0 33875.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 40.755165861221236 0.99 1 NEATM 0.995 1 0.0
5 1.0 232.5218807039962 -48.19785440923031 6112.0 33796.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 43.82572394527459 0.978 1 NEATM 0.978 1 0.1
6 1.0 157.5313960545693 -66.15222574356306 6086.0 34003.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 55.29307068578821 0.991 1 NEATM 0.994 1 0.0
7 1.0 321.03828028154874 -80.38310727837145 6112.0 34025.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 79.08927407066777 0.988 1 NEATM 0.988 1 0.0
8 1.0 346.91859378037054 40.60698555790418 6045.0 33932.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 145.85329339850463 0.994 1 NEATM 1.001 1 0.0
9 1.0 138.03894677727996 -87.94305744749441 6002.0 33911.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 72.20517294824997 1.0 1 NEATM 1.01 1 0.0
10 1.0 285.02101370975925 48.70453473049972 6067.0 34060.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 102.3749962797804 0.996 1 NEATM 1.001 1 0.0
11 1.0 190.4021711110456 -63.549603827932486 6094.0 34104.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 46.97852822976285 0.994 1 NEATM 0.996 1 0.0
12 1.0 204.4960419938156 -75.68602513438397 6108.0 33943.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 59.210103899706056 0.985 1 NEATM 0.986 1 0.0
13 1.0 333.214789785358 -73.87145383705104 6143.0 34109.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 85.53380322860642 0.987 1 NEATM 0.985 1 0.0
14 1.0 25.5729809512393 30.96860532370459 6156.0 34366.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 162.84969989305904 0.996 1 NEATM 0.993 1 0.0
15 1.0 31.366547892554657 -45.83390222648794 6077.0 33927.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 115.77799451817681 0.989 1 NEATM 0.993 1 0.0
16 1.0 7.278623078517259 -14.302895997582285 5972.0 33507.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 148.0515957139732 0.988 1 NEATM 0.999 1 0.0
17 1.0 299.74314439725765 10.326382438305046 6018.0 33721.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 106.79330362065917 0.99 1 NEATM 0.998 1 0.0
18 1.0 280.13643034194615 64.89921128918289 6065.0 33687.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 102.97374981794042 0.981 1 NEATM 0.984 1 0.0
19 1.0 313.2043733688549 40.8679672880391 6035.0 33711.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 121.90843028360652 0.986 1 NEATM 0.993 1 0.0
20 1.0 352.30260320379506 -41.34097705703137 6065.0 33886.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 118.23581455351139 0.989 1 NEATM 0.994 1 0.0
21 1.0 287.6970831180205 -66.33309612759703 6028.0 33769.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 75.76610227277595 0.99 1 NEATM 0.998 1 0.0
22 1.0 166.13257041105547 -80.03262232418437 6074.0 33973.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 64.67331549760475 0.992 1 NEATM 0.995 1 0.0
23 1.0 280.99050346312396 -35.712245793430355 6037.0 33881.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 77.05595940299874 0.993 1 NEATM 1.0 1 0.0
24 1.0 42.57879331281596 -42.818733136857915 6092.0 34035.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 115.37097796994803 0.991 1 NEATM 0.994 1 0.0
25 1.0 230.3715676779086 -7.894697975913658 6060.0 33777.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 35.458009103190236 0.985 1 NEATM 0.99 1 0.0
26 1.0 51.607183467256704 32.990640398582485 6092.0 34061.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 143.3734300875201 0.993 1 NEATM 0.995 1 0.0
27 1.0 340.0808101378502 35.21258021499429 6011.0 33632.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 143.7172376484758 0.987 1 NEATM 0.995 1 0.0
28 1.0 187.8653958300258 -38.96660761521 6069.0 33928.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 23.172037993515126 0.99 1 NEATM 0.995 1 0.0
29 1.0 149.2782983965885 -21.61314793797831 6033.0 33678.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 43.46223921396864 0.985 1 NEATM 0.992 1 0.0
30 1.0 95.24002035766571 -57.39282688735745 6170.0 34339.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 81.19673743173765 0.992 1 NEATM 0.988 1 0.0
31 1.0 278.724128196318 51.93819221517336 6051.0 33708.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 99.2059248879299 0.984 1 NEATM 0.989 1 0.0
32 1.0 164.21411959795748 -79.76734624201674 6075.0 33997.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 64.62649664514176 0.992 1 NEATM 0.996 1 0.0
33 1.0 204.63622159271347 35.459503510497726 6054.0 33884.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 52.91577048026686 0.991 1 NEATM 0.996 1 0.0
34 1.0 6.764328157087851 50.1651712693986 6074.0 33997.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 145.845491290584 0.993 1 NEATM 0.997 1 0.0
35 1.0 222.34877894731576 49.93336113277556 6058.0 33904.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 70.81267040072996 0.991 1 NEATM 0.996 1 0.0
36 1.0 220.3544601800717 -43.303938417836115 6026.0 33774.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 34.14280738709855 0.991 1 NEATM 0.998 1 0.0
37 1.0 222.0962388749125 -22.713635172138936 6169.0 34301.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 26.034095974616832 0.991 1 NEATM 0.987 1 0.0
38 1.0 339.7493082652647 15.76793433535002 5969.0 33572.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 146.04232686783735 0.991 1 NEATM 1.003 1 0.0
39 1.0 245.45530767725404 -40.892057563595934 6059.0 33856.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 49.42511909061306 0.989 1 NEATM 0.994 1 0.0
40 1.0 129.42284420656296 -23.246496140780025 6014.0 33733.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 61.6313314308114 0.991 1 NEATM 0.999 1 0.0
41 1.0 157.3315033677629 -54.530229566584865 6011.0 33721.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 47.7059290585738 0.991 1 NEATM 1.0 1 0.0
42 1.0 251.14723053381536 -7.225940923918671 6117.0 34084.0 0.7362631968424374 -0.3542824961102426 -0.1890174748526363 -0.1866216707160256 -0.0505256582067211 -0.0579529218019294 0 1 0.83865 0.20184 129.88632506801548 55.42166138831406 0.99 1 NEATM 0.99 1 0.0
