 D lon lat flux5 flux8 X Y Z MirX MirY MirZ TI objid r delta alpha D_NEATM D_true model eta etafit
0 1.0 321.72038119355256 -86.90836605097168 47026.0 253041.00000000003 1.1095065382744886 -0.2532311796968003 -0.07311163124877755 0.18662167071602567 0.050525658206721134 0.05795292180192941 0 1 1.1403841894152733 0.20183912223214723 34.35306308708499 0.991 1 NEATM 0.996 1
1 1.0 164.23944753977793 49.21271602000036 47128.0 253139.0 1.1095065382744886 -0.2532311796968003 -0.07311163124877755 0.18662167071602567 0.050525658206721134 0.05795292180192941 0 1 1.1403841894152733 0.20183912223214723 34.35306308708499 0.99 1 NEATM 0.994 1
2 1.0 359.9161345338534 -45.25513947737216 47139.0 253247.0 1.1095065382744886 -0.2532311796968003 -0.07311163124877755 0.18662167071602567 0.050525658206721134 0.05795292180192941 0 1 1.1403841894152733 0.20183912223214723 34.35306308708499 0.99 1 NEATM 0.994 1
3 1.0 264.75003329103424 25.854566807970585 47035.0 253000.99999999997 1.1095065382744886 -0.2532311796968003 -0.07311163124877755 0.18662167071602567 0.050525658206721134 0.05795292180192941 0 1 1.1403841894152733 0.20183912223214723 34.35306308708499 0.991 1 NEATM 0.996 1
4 1.0 219.61881483757358 12.478030091752501 47138.0 253222.99999999997 1.1095065382744886 -0.2532311796968003 -0.07311163124877755 0.18662167071602567 0.050525658206721134 0.05795292180192941 0 1 1.1403841894152733 0.20183912223214723 34.35306308708499 0.99 1 NEATM 0.994 1
5 1.0 323.3233808680063 -47.00912972453287 47113.0 253118.0 1.1095065382744886 -0.2532311796968003 -0.07311163124877755 0.18662167071602567 0.050525658206721134 0.05795292180192941 0 1 1.1403841894152733 0.20183912223214723 34.35306308708499 0.99 1 NEATM 0.994 1
6 1.0 213.0569256263292 88.07973814904076 47004.0 252898.99999999997 1.1095065382744886 -0.2532311796968003 -0.07311163124877755 0.18662167071602567 0.050525658206721134 0.05795292180192941 0 1 1.1403841894152733 0.20183912223214723 34.35306308708499 0.991 1 NEATM 0.996 1
7 1.0 118.99560795058119 23.065502575458254 47090.0 253000.99999999997 1.1095065382744886 -0.2532311796968003 -0.07311163124877755 0.18662167071602567 0.050525658206721134 0.05795292180192941 0 1 1.1403841894152733 0.20183912223214723 34.35306308708499 0.99 1 NEATM 0.994 1
8 1.0 291.83142630805725 37.02695638574086 47069.0 253049.00000000003 1.1095065382744886 -0.2532311796968003 -0.07311163124877755 0.18662167071602567 0.050525658206721134 0.05795292180192941 0 1 1.1403841894152733 0.20183912223214723 34.35306308708499 0.991 1 NEATM 0.995 1
9 1.0 20.084674105643586 79.91574554738312 47019.0 252909.0 1.1095065382744886 -0.2532311796968003 -0.07311163124877755 0.18662167071602567 0.050525658206721134 0.05795292180192941 0 1 1.1403841894152733 0.20183912223214723 34.35306308708499 0.991 1 NEATM 0.996 1
