idx D_km lam beta x1 y1 z1 x2 y2 z2 flux5 flux6 flux7 flux8 flux9 flux10 flux11 flux12 flux13 flux14 flux15 flux16 flux17 flux18 flux19 flux20
0 1.0 197.5728614138369 73.17998985981222 -0.7685171592884216 -0.557287557081434 -0.24323731189451755 0.0036106325110595353 0.0009833208579321743 -0.0005217767287234094 1141718.0 3393285.0 6993683.0 11533892.0 16464139.0 21310184.0 25749906.0 29607138.0 32815551.0 35380296.0 37347501.0 38783104.0 39759477.0 40347621.0 40613061.0 40614037.0
1 1.0 257.468171894071 49.328519885754986 -0.7685171592884216 -0.557287557081434 -0.24323731189451755 0.0036106325110595353 0.0009833208579321743 -0.0005217767287234094 1146039.0 3396278.0 6975157.0 11465471.0 16323467.0 21089249.0 25455325.0 29255888.0 32429710.0 34982715.0 36958969.0 38420876.0 39436777.0 40073772.0 40393935.0 40452640.0
2 1.0 216.99481538579178 -30.033872634844457 -0.7685171592884216 -0.557287557081434 -0.24323731189451755 0.0036106325110595353 0.0009833208579321743 -0.0005217767287234094 1110584.0 3323147.0 6897691.0 11458441.0 16473634.0 21467101.0 26101151.0 30178896.0 33614288.0 36396860.0 38562033.0 40169521.0 41289008.0 41991339.0 42343528.0 42406263.0
3 1.0 196.15794587888288 -75.40174980216058 -0.7685171592884216 -0.557287557081434 -0.24323731189451755 0.0036106325110595353 0.0009833208579321743 -0.0005217767287234094 1117084.0 3335361.0 6902779.0 11427906.0 16372694.0 21265532.0 25779443.0 29729398.0 33039354.000000004 35705908.0 37768682.0 39289306.0 40337758.0 40984148.0 41294171.0 41326927.0
4 1.0 152.5157277620057 -16.69658914551468 -0.7685171592884216 -0.557287557081434 -0.24323731189451755 0.0036106325110595353 0.0009833208579321743 -0.0005217767287234094 1140708.0 3387660.0 6978550.0 11506458.0 16426245.999999998 21267776.0 25710698.0 29578302.0 32802295.0 35385401.0 37371495.0 38824768.0 39816418.0 40416797.0 40691195.0 40697909.0
5 1.0 232.5218807039962 -48.19785440923031 -0.7685171592884216 -0.557287557081434 -0.24323731189451755 0.0036106325110595353 0.0009833208579321743 -0.0005217767287234094 1173520.0 3485851.0 7187872.0 11859290.0 16930351.0 21907761.0 26456271.0 30393232.0 33651090.0 36237155.0 38201486.0 39614593.0 40553354.0 41092851.0 41302095.0 41242192.0
6 1.0 157.5313960545693 -66.15222574356306 -0.7685171592884216 -0.557287557081434 -0.24323731189451755 0.0036106325110595353 0.0009833208579321743 -0.0005217767287234094 1209531.0 3575369.0 7347671.0 12094999.0 17240039.0 22286398.0 26898713.0 30895505.0 34210530.0 36852019.0 38870431.0 40336242.0 41326015.0 41914372.0 42169845.0 42153104.0
7 1.0 321.03828028154874 -80.38310727837145 -0.7685171592884216 -0.557287557081434 -0.24323731189451755 0.0036106325110595353 0.0009833208579321743 -0.0005217767287234094 1103232.0 3303687.0 6850739.0 11357840.0 16288964.0 21172233.0 25679678.0 29625516.0 32933434.0 35600116.0 37665401.0 39191103.0 40247258.0 40903885.0 41226464.0 41273779.0
8 1.0 346.91859378037054 40.60698555790418 -0.7685171592884216 -0.557287557081434 -0.24323731189451755 0.0036106325110595353 0.0009833208579321743 -0.0005217767287234094 1151174.0 3414540.0 7025063.0 11564867.0 16479855.0 21297645.0 25701713.0 29522192.0 32697829.0 35236959.0 37187100.0 38614235.0 39589918.0 40183887.0 40460258.0 40475898.0
9 1.0 138.03894677727996 -87.94305744749441 -0.7685171592884216 -0.557287557081434 -0.24323731189451755 0.0036106325110595353 0.0009833208579321743 -0.0005217767287234094 1126010.0 3359159.0 6947088.0 11490045.0 16439214.0 21315022.0 25787877.0 29675033.0 32905766.0 35483119.0 37452906.0 38881937.0 39844086.0 40412089.0 40653176.0 40627121.0
