idx D_km lam beta x1 y1 z1 x2 y2 z2 flux5 flux6 flux7 flux8 flux9 flux10 flux11 flux12 flux13 flux14 flux15 flux16 flux17 flux18 flux19 flux20
0 1.0 197.5728614138369 73.17998985981222 0.2824260101703686 -0.6508052573408205 -0.3702017638704167 -0.20883468830932858 0.12043176065272027 -0.035225163982822605 21034.0 51568.0 91736.0 134653.0 174867.0 209290.0 236768.0 257357.99999999997 271745.0 280859.0 285659.0 287030.0 285734.0 282410.0 277577.0 271648.0
1 1.0 257.468171894071 49.328519885754986 0.2824260101703686 -0.6508052573408205 -0.3702017638704167 -0.20883468830932858 0.12043176065272027 -0.035225163982822605 18922.0 48627.0 89175.0 133616.0 176047.0 212910.0 242720.0 265352.0 281416.0 291835.0 297601.0 299641.0 298769.0 295669.0 290902.0 284916.0
2 1.0 216.99481538579178 -30.033872634844457 0.2824260101703686 -0.6508052573408205 -0.3702017638704167 -0.20883468830932858 0.12043176065272027 -0.035225163982822605 29960.0 71729.0 125045.99999999999 180392.0 230792.0 272667.0 304995.0 328242.0 343566.0 352336.0 355877.0 355364.0 351780.0 345927.0 338440.0 329820.0
3 1.0 196.15794587888288 -75.40174980216058 0.2824260101703686 -0.6508052573408205 -0.3702017638704167 -0.20883468830932858 0.12043176065272027 -0.035225163982822605 29995.0 71396.0 124031.0 178540.0 228109.0 269265.0 301029.0 323872.0 338936.0 347565.0 351060.0 350571.0 347065.0 341325.0 333978.0 325513.0
4 1.0 152.5157277620057 -16.69658914551468 0.2824260101703686 -0.6508052573408205 -0.3702017638704167 -0.20883468830932858 0.12043176065272027 -0.035225163982822605 2520.0 7715.0 16225.0 27153.0 39192.0 51165.0 62243.0 71947.0 80074.0 86609.0 91646.0 95338.0 97861.0 99390.0 100091.0 100111.0
5 1.0 232.5218807039962 -48.19785440923031 0.2824260101703686 -0.6508052573408205 -0.3702017638704167 -0.20883468830932858 0.12043176065272027 -0.035225163982822605 31849.000000000004 71846.0 120810.0 170332.0 214675.0 251097.00000000003 278976.0 298872.0 311868.0 319187.0 321988.0 321290.0 317942.0 312633.0 305913.0 298210.0
6 1.0 157.5313960545693 -66.15222574356306 0.2824260101703686 -0.6508052573408205 -0.3702017638704167 -0.20883468830932858 0.12043176065272027 -0.035225163982822605 24615.0 61490.0 110353.0 162534.0 211163.0 252410.00000000003 284916.0 308850.0 325153.0 335039.0 339740.0 340370.0 337878.0 333048.0 326510.0 318761.0
7 1.0 321.03828028154874 -80.38310727837145 0.2824260101703686 -0.6508052573408205 -0.3702017638704167 -0.20883468830932858 0.12043176065272027 -0.035225163982822605 25226.0 58688.0 100851.0 144506.0 184417.0 217870.0 244045.0 263236.0 276272.0 284158.0 287885.0 288342.0 286286.0 282337.0 276998.0 270666.0
8 1.0 346.91859378037054 40.60698555790418 0.2824260101703686 -0.6508052573408205 -0.3702017638704167 -0.20883468830932858 0.12043176065272027 -0.035225163982822605 13748.0 36373.0 68317.0 104426.0 139922.0 171662.0 198117.0 218905.0 234316.0 244972.0 251606.0 254944.99999999997 255647.0 254282.99999999997 251330.0 247181.0
9 1.0 138.03894677727996 -87.94305744749441 0.2824260101703686 -0.6508052573408205 -0.3702017638704167 -0.20883468830932858 0.12043176065272027 -0.035225163982822605 28050.0 66903.0 116500.0 168100.0 215262.0 254641.0 285239.0 307435.0 322261.0 330959.0 334744.0 334696.0 331728.0 326586.0 319866.0 312039.0
10 1.0 285.02101370975925 48.70453473049972 0.2824260101703686 -0.6508052573408205 -0.3702017638704167 -0.20883468830932858 0.12043176065272027 -0.035225163982822605 14293.0 37280.0 69290.0 105078.0 139936.0 170861.0 196453.0 216420.0 231109.0 241166.0 247328.0 250313.0 250768.0 249246.0 246209.0 242035.0
11 1.0 190.40217111104562 -63.549603827932486 0.2824260101703686 -0.6508052573408205 -0.3702017638704167 -0.20883468830932858 0.12043176065272027 -0.035225163982822605 28989.0 70406.0 123836.0 179684.0 230781.0 273383.0 306367.0 330154.0 345891.0 354958.0 358697.0 358301.0 354771.0 348923.0 341407.0 332732.0
12 1.0 204.49604199381562 -75.68602513438397 0.2824260101703686 -0.6508052573408205 -0.3702017638704167 -0.20883468830932858 0.12043176065272027 -0.035225163982822605 30304.0 71602.0 123836.0 177754.0 226685.0 267255.0 298536.0 321012.0 335819.0 344285.0 347695.0 347182.0 343697.0 338012.0 330742.0 322372.0
13 1.0 333.214789785358 -73.87145383705104 0.2824260101703686 -0.6508052573408205 -0.3702017638704167 -0.20883468830932858 0.12043176065272027 -0.035225163982822605 22097.0 51400.0 88471.0 127068.99999999999 162586.0 192581.0 216257.0 233811.0 245927.0 253462.00000000003 257272.99999999997 258135.99999999997 256716.99999999997 253567.0 249133.0 243771.0
14 1.0 25.5729809512393 30.968605323704594 0.2824260101703686 -0.6508052573408205 -0.3702017638704167 -0.20883468830932858 0.12043176065272027 -0.035225163982822605 27321.0 67273.0 119425.0 174413.0 225076.0 267576.0 300681.0 324720.0 340780.0 350196.0 354286.0 354227.0 351015.0 345461.0 338214.0 329784.0
15 1.0 31.366547892554657 -45.83390222648794 0.2824260101703686 -0.6508052573408205 -0.3702017638704167 -0.20883468830932858 0.12043176065272027 -0.035225163982822605 21284.0 53062.0 95325.0 140755.0 183461.0 220069.0 249297.0 271184.0 286456.0 296104.0 301158.0 302563.0 301136.0 297560.0 292387.0 286061.0
