idx D_km lam beta x1 y1 z1 x2 y2 z2 flux5 flux6 flux7 flux8 flux9 flux10 flux11 flux12 flux13 flux14 flux15 flux16 flux17 flux18 flux19 flux20
0 1.0 197.5728614138369 73.17998985981222 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 107445.0 308635.0 613772.0 978171.0 1352828.0 1701291.0 2002756.0000000002 2248955.0 2439788.0 2579687.0 2675130.0 2733126.0 2760394.0 2762961.0 2746030.0 2713974.0
1 1.0 257.468171894071 49.328519885754986 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 125821.99999999999 355800.0 699013.0 1103164.0 1513392.0 1890270.0 2212277.0 2471737.0 2669705.0 2811899.0 2905984.0 2959975.0 2981396.0 2976900.0 2952158.0 2911892.0
2 1.0 216.99481538579178 -30.033872634844457 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 59326.0 153443.0 287410.0 442340.0 599567.0 745714.0 873203.0 978960.0 1062842.0 1126375.0 1171882.0 1201939.0 1219074.0 1225605.0 1223574.0 1214736.0
3 1.0 196.15794587888288 -75.40174980216058 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 126180.99999999999 354501.0 693667.0 1091924.0 1495486.0 1865889.0 2182224.0 2437091.0 2631591.0 2771357.0 2863909.0 2917104.0 2938312.0 2934053.0 2909887.0 2870445.0
4 1.0 152.5157277620057 -16.69658914551468 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 16281.0 51684.0 111795.0 191392.0 281543.0 373592.0 461002.0 539664.0 607499.0 663885.0 709138.0 744110.0 769913.0 787746.0 798783.0 804116.0
5 1.0 232.5218807039962 -48.19785440923031 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 119797.0 318711.0 603875.0 931921.0 1260521.0 1560348.0 1815872.0 2021890.0 2179611.0 2293625.0 2369913.0 2414676.0 2433727.0 2432211.0 2414528.0 2384353.0
6 1.0 157.5313960545693 -66.15222574356306 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 107777.0 303958.0 597580.0 945247.0 1300669.0 1629943.0 1914007.0 2145506.0 2324639.0 2455757.0 2545052.0 2599165.0 2624429.0 2626515.0 2610307.0 2579905.0
7 1.0 321.03828028154874 -80.38310727837145 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 117229.0 340660.0 681427.0 1088886.0 1507160.0 1894798.0 2228387.0 2498913.0 2706666.0 2857029.0 2957613.0 3016538.0 3041509.0 3039385.0 3016043.0 2976389.0
8 1.0 346.91859378037054 40.60698555790418 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 48924.0 135596.0 266008.0 422971.0 587179.0 743615.0 883027.0 1001026.9999999999 1096598.0 1170755.0 1225572.0 1263557.0 1287270.0 1299123.0 1301278.0 1295619.0
9 1.0 138.03894677727996 -87.94305744749441 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 125621.00000000001 362258.0 720369.0 1145696.0 1579661.0 1979509.0 2321599.0 2597273.0 2807419.0 2958047.0 3057334.0 3113865.0 3135710.0 3130005.0 3102831.0 3059242.0
10 1.0 285.02101370975925 48.70453473049972 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 134270.0 380882.0 749058.0 1182024.0 1620407.0 2021783.9999999998 2363261.0 2636939.0 2844311.0 2991817.0 3087915.0 3141361.0 3160318.0 3151968.0 3122404.0 3076675.0
11 1.0 190.40217111104562 -63.549603827932486 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 104509.0 287874.0 558147.0 875393.0 1198198.0 1496626.0 1753992.0 1963939.0 2126738.0 2246299.0 2328149.0 2378212.0 2402147.0 2405028.0 2391241.0 2364476.0
12 1.0 204.49604199381562 -75.68602513438397 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 128044.99999999999 359703.0 703631.0 1107184.0 1515771.0 1890436.0 2210079.0 2467298.0 2663300.0 2803859.0 2896642.0 2949637.0 2970327.0 2965322.0 2940254.0 2899809.0
13 1.0 333.214789785358 -73.87145383705104 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 102962.0 301384.0 606820.0 975364.0 1357110.0 1714135.0 2024338.0000000002 2278574.0 2476280.0 2621724.0 2721409.0 2782469.0 2811789.0 2815569.0 2799174.0 2767120.0
14 1.0 25.5729809512393 30.968605323704594 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 42966.0 111413.0 209321.0 323155.0 439306.0 547873.0 643153.0 722750.0 786451.0 835293.0 870917.0 895171.0 909873.0 916696.0 917121.0 912421.0
15 1.0 31.366547892554657 -45.83390222648794 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 41376.0 124214.0 256983.00000000003 424154.0 605073.0 782125.0 943508.0 1082898.0 1198039.0 1289289.0 1358483.0 1408152.0 1441037.0 1459804.0 1466900.0 1464491.0
16 1.0 7.278623078517259 -14.302895997582283 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 1064.0 4110.0 10290.0 19719.0 31711.999999999996 45228.0 59244.0 72942.0 85760.0 97367.0 107610.0 116461.0 123971.0 130239.0 135387.0 139544.0
17 1.0 299.74314439725765 10.326382438305046 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 89857.0 259788.00000000003 520072.0 834100.0 1160320.0 1466950.0 1735180.0 1956930.0 2131304.0 2261531.0 2352803.0 2410942.0 2441634.0 2450054.0 2440714.0 2417446.0
18 1.0 280.13643034194615 64.89921128918289 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 136792.0 387947.0 762621.0 1202795.0 1647964.0 2055027.0 2400829.0 2677489.0 2886664.0 3035007.0 3131189.0 3184153.0 3202221.0 3192700.0 3161780.0 3114583.0
19 1.0 313.2043733688549 40.8679672880391 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 92086.0 259544.0 511113.00000000006 810628.0 1118843.0 1406516.0 1656784.0 1862735.0 2023995.0000000002 2143881.0 2227414.0 2280119.0 2307338.0 2313910.0 2304040.0 2281287.0
20 1.0 352.30260320379506 -41.34097705703137 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 18819.0 61050.0 133942.0 231524.0 342866.0 457136.0 566059.0 664387.0 749430.0 820345.0 877471.0 921830.0 954777.0 977775.0 992262.0 999579.0
21 1.0 287.6970831180205 -66.33309612759703 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 125208.99999999999 361304.0 718862.0 1143811.0 1577634.0 1977553.0 2319860.0 2595833.0 2806307.0 2957258.0 3056842.0 3113634.0 3135702.0 3130183.0 3103160.0 3059691.0
22 1.0 166.13257041105547 -80.03262232418437 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 126349.99999999999 360060.0 710657.0 1124763.0 1545820.0 1932971.0 2263824.0 2530327.0 2733505.0 2879233.0 2975419.0 3030341.0 3051770.0 3046574.0 3020608.0 2978739.0
23 1.0 280.99050346312396 -35.712245793430355 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 133933.0 382697.0 756002.0 1196363.0 1643036.0 2052385.9999999998 2400759.0 2679926.0 2891343.0 3041576.0 3139278.0 3193418.0 3212356.0 3203445.0 3172921.0 3125950.0
24 1.0 42.57879331281596 -42.818733136857915 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 51860.0 152656.0 311129.0 507465.00000000006 716954.0 919309.0 1101449.0 1256765.0 1383294.0 1481967.0 1555277.0 1606398.0 1638645.0 1655173.0 1658837.0 1652128.0
25 1.0 230.3715676779086 -7.894697975913658 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 65794.0 171340.0 322158.0 496844.0 674091.0 838583.0 981657.0 1099837.0 1193028.0 1263056.0 1312649.0 1344814.0 1362479.0 1368311.0 1364649.0 1353486.0
26 1.0 51.607183467256704 32.990640398582485 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 99709.0 258863.0 484048.0 741738.0 999754.0 1235849.0 1438144.0 1602518.0 1729695.0 1822993.0 1886842.0 1925895.0 1944558.0 1946769.0 1935922.0 1914879.0
27 1.0 340.0808101378502 35.21258021499429 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 40844.0 115710.0 230589.0 371027.0 519881.99999999994 663348.0 792589.0 903149.0 993696.0 1064847.0 1118276.0 1156134.0 1180680.0 1194076.0 1198293.0 1195060.0
28 1.0 187.8653958300258 -38.96660761521 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 38144.0 104882.0 205211.0 326295.0 453560.0 575493.0 684832.0 777984.0 853955.0 913361.0 957693.0 988823.0 1008702.9999999999 1019196.9999999999 1021992.9999999999 1018572.0
29 1.0 149.2782983965885 -21.61314793797831 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 25211.0 77466.0 163473.0 274431.0 397237.0 519962.00000000006 634088.0 734630.0 819404.0 888134.0 941701.0 981595.0 1009549.0 1027322.0000000001 1036573.0 1038798.0000000001
0 1.0 95.24002035766571 -57.39282688735745 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 118650.0 345090.0 690499.0 1103387.0 1526980.0 1919222.0 2256424.0 2529530.0 2738925.0 2890142.0 2990955.0 3049632.0 3074006.0 3071040.0 3046690.0 3005927.0
1 1.0 278.724128196318 51.93819221517336 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 135727.0 385359.0 758157.0 1196502.0 1640148.0 2046087.0 2391158.0 2667424.0 2876467.0 3024876.0 3121262.0 3174526.0 3192952.0 3183823.0 3153312.0 3106527.0
2 1.0 164.21411959795748 -79.76734624201674 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 126098.99999999999 359366.0 709337.0 1122757.0 1543173.0 1929790.0 2260239.0 2526464.0 2729473.0 2875122.0 2971300.0 3026266.0 3047776.0 3042688.0 3016848.0 2975115.0
3 1.0 204.63622159271347 35.459503510497726 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 24021.0 72032.0 149659.0 248656.0 357423.0 465647.0 566073.0 654506.0 729132.0 789750.0 837129.0 872553.0 897514.0 913527.0 922026.0 924311.0
4 1.0 6.764328157087851 50.1651712693986 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 76268.0 203749.0 388879.0 605223.0 825776.0 1030933.0000000001 1209542.0 1357087.0 1473383.0 1560689.0 1622413.0 1662316.0 1684058.0 1690976.0 1685994.0 1671604.0
5 1.0 222.34877894731574 49.93336113277556 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 72675.0 207705.0 413877.0 663045.0 923092.0 1169139.0 1386143.0 1567322.0 1711524.0 1820912.0 1899295.0 1951072.0 1980616.0 1991959.0 1988655.0 1973747.0
6 1.0 220.3544601800717 -43.303938417836115 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 90365.0 237622.0 448412.0 691864.0 937520.0 1163870.0 1359107.0 1518838.0 1643384.0 1735648.0 1799685.0 1839835.0 1860250.0 1864670.0 1856340.0 1838004.0
7 1.0 222.0962388749125 -22.713635172138936 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 59522.0 153314.0 286325.0 439715.0 595031.0 739137.0 864654.0 968636.0 1051011.0 1113328.0 1157900.0 1187283.0 1203972.0 1210249.0 1208125.0 1199323.0
8 1.0 339.7493082652647 15.76793433535002 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 11882.0 37159.0 79764.0 136024.0 199695.0 264709.0 326472.0 382095.0 430125.0 470143.0 502384.00000000006 527461.0 546162.0 559330.0 567784.0 572283.0
9 1.0 245.45530767725404 -40.892057563595934 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 135274.0 360802.0 683489.0 1053273.0 1421860.0 1756259.0 2039399.0 2265945.0 2437736.0 2560312.0 2640664.0 2685939.0 2702768.0 2696981.0 2673532.0 2636538.0
10 1.0 129.42284420656296 -23.246496140780025 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 64018.00000000001 189329.0 386108.0 628878.0 886356.0 1133264.0 1353666.0 1539849.0 1689890.0 1805379.0 1889737.0 1947118.0 1981760.0 1997630.0 1998270.0 1986741.0
11 1.0 157.33150336776293 -54.530229566584865 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 81069.0 228961.0 452272.0 719724.0 996722.0 1257039.0 1485187.0 1674473.0 1824094.0 1936643.0 2016355.0 2068013.0 2096317.0 2105573.0 2099558.0 2081492.0
12 1.0 251.14723053381536 -7.225940923918671 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 127982.00000000001 341249.0 646726.0 997398.0 1347694.0 1666309.0 1936885.0 2154146.0 2319635.0 2438444.0 2517090.0 2562275.0 2580249.0 2576522.0 2555795.0 2521982.0
13 1.0 21.68116978653714 -81.96978577425946 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 113920.0 331802.0 664904.0 1064048.0 1474602.0 1855825.0 2184556.0 2451736.0 2657467.0 2806891.0 2907382.0 2966851.0 2992826.0 2992030.0 2970227.0 2932243.0
14 1.0 240.03601756044037 53.96325922271123 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 105180.0 298117.0 588075.0 932462.0 1285405.0 1613070.0 1896274.0 2127476.0 2306690.0 2438119.0 2527847.0 2582444.0 2608202.0 2610767.0 2595013.0 2565038.0
15 1.0 241.4296330625374 -76.1478395424061 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 134083.0 379445.0 745020.0 1174355.0 1608699.0 2006193.0 2344302.0 2615291.0 2820680.0 2966853.0 3062176.0 3115302.0 3134298.0 3126260.0 3097210.0 3052139.0
16 1.0 75.73772198658273 3.3903267896746883 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 123699.0 339407.0 654942.0 1022224.0 1392633.0 1731844.0 2021376.0 2254797.0 2433232.0 2561820.0 2647375.0 2697006.0 2717385.0 2714423.0 2693169.0 2657835.0
17 1.0 46.41346715574719 -34.7741820818647 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 49089.0 143202.0 290332.0 472022.0 665502.0 852168.0 1020067.0 1163201.0 1279832.0 1370865.0 1438622.0 1486037.0 1516159.0 1531883.0 1535821.0 1530249.0
18 1.0 113.55420633270619 13.957730789647584 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 96152.0 282385.0 570413.0 919629.0 1283126.0 1624794.0 1923224.0 2169236.0 2361844.0 2504760.0 2603928.0 2665985.0 2697399.0 2704042.0 2691021.0 2662660.0
19 1.0 130.93587753934415 82.69800135001651 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 134078.0 381820.0 752757.0 1189783.0 1632804.0 2038733.0000000002 2384235.0 2661201.0 2871077.0 3020355.0 3117584.0 3171630.0 3190763.0 3182257.0 3152287.0 3105968.0
20 1.0 205.27083735043666 26.20264400208069 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 14788.0 44904.0 94381.0 158441.0 229802.0 301701.0 369189.0 429268.0 480532.0 522683.0 556120.0 581622.0 600134.0 612641.0 620083.0 623319.0
21 1.0 157.89654484643532 -83.63476156401164 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 127001.0 364144.0 721392.0 1144379.0 1575018.0 1971187.0 2309741.0 2582325.0 2789961.0 2938678.0 3036609.0 3092266.0 3113638.0 3107781.0 3080705.0 3037404.0
22 1.0 355.8145817013214 -12.527560888548976 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 504.0 2308.0 6479.0 13523.0 23292.0 35179.0 48391.0 62145.0 75776.0 88782.0 100818.0 111683.0 121281.0 129603.0 136691.0 142626.0
23 1.0 36.736131869290105 1.803033417285036 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 23446.0 63710.0 123969.0 196705.0 273350.0 347061.0 413455.0 470312.0 516969.0 553741.0 581485.0 601298.0 614340.0 621721.0 624448.0 623409.0
24 1.0 75.19563219414049 6.511949046621353 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 125090.0 341760.0 657676.0 1024583.9999999999 1394023.0 1731934.0 2020070.0 2252158.0 2429411.0 2557004.0 2641754.0 2690756.0 2710661.0 2707355.0 2685865.0 2650383.0
25 1.0 58.07142643859865 32.65065190869082 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 114287.0 298974.0 560937.0 860558.0 1159830.0 1432621.0 1665145.0 1852803.0 1996700.0 2100956.0 2170942.0 2212242.0 2230098.0 2229168.0 2213440.0 2186257.0
26 1.0 235.11899716754343 -40.032702408282105 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 115604.0 304061.0 572347.0 879848.0 1187348.0 1467788.0 1706858.0 1899763.0 2047623.0000000002 2154684.0 2226491.0 2268806.0 2287037.0 2285984.0 2269753.0 2241784.0
27 1.0 91.18497691432157 -66.80509821606236 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 118617.0 344912.0 690036.0 1102533.0 1525693.0 1917516.0 2254351.0 2527161.0 2736332.0 2887392.0 2988107.0 3046735.0 3071098.0 3068152.0 3043844.0 3003139.0
28 1.0 167.87187822827028 -19.31837822152302 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 7918.0 25513.0 55952.0 97006.0 144358.0 193599.0 241233.0 284928.0 323382.0 356067.0 382981.0 404446.0 420961.0 433101.0 441457.0 446593.0
29 1.0 87.99321312057698 82.1530301032708 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 141629.0 400290.0 784774.0 1235046.0 1689106.0 2103140.0 2453864.0 2733595.0 2944309.0 3093004.0 3188655.0 3240462.0 3256946.0 3245564.0 3212623.0 3163326.0
0 1.0 57.2290501123871 -56.31643948484795 0.8894101442517943 0.2485511472905992 0.11940654024154701 -0.06660172920498394 0.010932738154595001 0.01577433430168581 89778.0 261709.00000000003 526533.0 847111.0 1180802.0 1494799.0 1769600.0 1996761.0 2175275.0 2308416.0 2401509.0 2460542.0 2491371.0 2499333.0 2489082.0 2464567.0
