idx D_km lam beta x1 y1 z1 x2 y2 z2 flux5 flux6 flux7 flux8 flux9 flux10 flux11 flux12 flux13 flux14 flux15 flux16 flux17 flux18 flux19 flux20
0 1.0 197.5728614138369 73.17998985981222 -0.7898046758420812 0.19091949559498145 0.33979501212455954 0.12671287156417987 -0.1762662951422659 0.17965946371040334 9917.0 21277.0 34632.0 47773.0 59313.0 68650.0 75706.0 80672.0 83856.0 85584.0 86159.0 85846.0 84861.0 83380.0 81544.0 79462.0
1 1.0 257.468171894071 49.328519885754986 -0.7898046758420812 0.19091949559498145 0.33979501212455954 0.12671287156417987 -0.1762662951422659 0.17965946371040334 9959.0 21368.0 34760.0 47899.0 59389.0 68634.0 75569.0 80402.0 83450.0 85051.0 85512.0 85100.0 84033.0 82486.0 80598.0 78477.0
2 1.0 216.99481538579178 -30.033872634844457 -0.7898046758420812 0.19091949559498145 0.33979501212455954 0.12671287156417987 -0.1762662951422659 0.17965946371040334 10008.0 21464.0 34914.0 48117.0 59672.0 68982.0 75976.0 80860.0 83952.0 85585.0 86070.0 85673.0 84612.0 83066.0 81173.0 79042.0
3 1.0 196.15794587888288 -75.40174980216058 -0.7898046758420812 0.19091949559498145 0.33979501212455954 0.12671287156417987 -0.1762662951422659 0.17965946371040334 9991.0 21419.0 34836.0 48015.0 59564.0 68888.0 75913.0 80840.0 83979.0 85661.0 86192.0 85837.0 84814.0 83300.0 81433.0 79324.0
4 1.0 152.5157277620057 -16.69658914551468 -0.7898046758420812 0.19091949559498145 0.33979501212455954 0.12671287156417987 -0.1762662951422659 0.17965946371040334 9853.0 21165.0 34475.0 47577.0 59079.0 68380.0 75400.0 80335.0 83492.0 85199.0 85760.0 85439.0 84451.0 82973.0 81143.0 79071.0
5 1.0 232.5218807039962 -48.19785440923031 -0.7898046758420812 0.19091949559498145 0.33979501212455954 0.12671287156417987 -0.1762662951422659 0.17965946371040334 10020.0 21515.0 35049.0 48371.0 60057.0 69485.0 76571.0 81512.0 84626.0 86252.0 86707.0 86262.0 85143.0 83531.0 81569.0 79370.0
6 1.0 157.5313960545693 -66.15222574356306 -0.7898046758420812 0.19091949559498145 0.33979501212455954 0.12671287156417987 -0.1762662951422659 0.17965946371040334 10040.0 21523.0 34997.0 48223.0 59802.0 69138.0 76160.0 81073.0 84191.0 85850.0 86357.0 85979.0 84934.0 83401.0 81518.0 79394.0
7 1.0 321.03828028154874 -80.38310727837145 -0.7898046758420812 0.19091949559498145 0.33979501212455954 0.12671287156417987 -0.1762662951422659 0.17965946371040334 9934.0 21308.0 34662.0 47775.0 59257.0 68520.0 75493.0 80379.0 83491.0 85157.0 85684.0 85334.0 84323.0 82826.0 80981.0 78897.0
8 1.0 346.91859378037054 40.60698555790418 -0.7898046758420812 0.19091949559498145 0.33979501212455954 0.12671287156417987 -0.1762662951422659 0.17965946371040334 9960.0 21363.0 34755.0 47914.0 59451.0 68772.0 75803.0 80742.0 83899.0 85602.0 86157.0 85825.0 84826.0 83333.0 81488.0 79398.0
9 1.0 138.03894677727996 -87.94305744749441 -0.7898046758420812 0.19091949559498145 0.33979501212455954 0.12671287156417987 -0.1762662951422659 0.17965946371040334 9979.0 21392.0 34786.0 47937.0 59453.0 68742.0 75733.0 80629.0 83741.0 85402.0 85918.0 85552.0 84523.0 83005.0 81140.0 79034.0
