idx D_km lam beta x1 y1 z1 x2 y2 z2 flux5 flux6 flux7 flux8 flux9 flux10 flux11 flux12 flux13 flux14 flux15 flux16 flux17 flux18 flux19 flux20
0 1.0 197.5728614138369 73.17998985981222 -0.564380421265099 -0.7303654192795446 -0.31794951029173857 0.0030581538835696754 0.0016258596067397122 -0.00020052045603923606 43089358.0 127216389.0 257340786.99999997 414628920.0 577517100.0 729613788.0 861406435.0 969015448.0 1052275247.0 1113098369.0 1154342819.0 1179119926.0 1190414835.0 1190905686.0 1182899397.0 1168330829.0
1 1.0 257.468171894071 49.328519885754986 -0.564380421265099 -0.7303654192795446 -0.31794951029173857 0.0030581538835696754 0.0016258596067397122 -0.00020052045603923606 30976130.0 91624316.0 186443035.0 302704868.0 425120632.0 541557959.0 644545567.0 730626074.0 799116809.0 850982837.0 888018654.0 912323615.0 925996900.0 930978417.0 928979494.0 921465285.0
2 1.0 216.99481538579178 -30.033872634844457 -0.564380421265099 -0.7303654192795446 -0.31794951029173857 0.0030581538835696754 0.0016258596067397122 -0.00020052045603923606 2128024.0 6628688.0 14240152.0 24375663.0 35988300.0 48026398.0 59658641.0 70327937.0 79720936.0 87709878.0 94294477.0 99554154.0 103612567.0 106613014.0 108702375.0 110021289.0
3 1.0 196.15794587888288 -75.40174980216058 -0.564380421265099 -0.7303654192795446 -0.31794951029173857 0.0030581538835696754 0.0016258596067397122 -0.00020052045603923606 34233966.0 98508519.0 196813846.0 315458525.0 438883548.0 555137424.0 657094126.0 741636942.0 808352658.0 858394105.0 893674199.0 916359290.0 928580439.0 932286960.0 929186094.0 920731456.0
4 1.0 152.5157277620057 -16.69658914551468 -0.564380421265099 -0.7303654192795446 -0.31794951029173857 0.0030581538835696754 0.0016258596067397122 -0.00020052045603923606 26701332.0 81469523.0 169382732.0 279341357.0 396962146.0 510332361.0 611807736.0 697609037.0 766719694.0 819817073.0 858469545.0 884608254.0 900211979.0 907137194.0 907039330.0 901347658.0
5 1.0 232.5218807039962 -48.19785440923031 -0.564380421265099 -0.7303654192795446 -0.31794951029173857 0.0030581538835696754 0.0016258596067397122 -0.00020052045603923606 13166865.0 36406924.0 71589718.0 114333816.0 159552726.0 203169817.0 242571925.0 276427909.0 304323898.0 326421365.0 343199736.0 355283622.0 363335891.0 367996480.0 369850849.0 369416679.0
6 1.0 157.5313960545693 -66.15222574356306 -0.564380421265099 -0.7303654192795446 -0.31794951029173857 0.0030581538835696754 0.0016258596067397122 -0.00020052045603923606 33862141.0 99662247.0 201914077.0 326567350.0 457088436.0 580556732.0 689161342.0 779412018.0 850759523.0 904370446.0 942251800.0 966698213.0 979975923.0 984161851.0 981076754.0 972271636.0
7 1.0 321.03828028154874 -80.38310727837145 -0.564380421265099 -0.7303654192795446 -0.31794951029173857 0.0030581538835696754 0.0016258596067397122 -0.00020052045603923606 43556914.0 126936374.0 254628500.0 407974347.0 566104182.0 713353409.0 840730757.0 944637792.0 1025003545.9999999 1083717675.0 1123553749.0 1147514471.0 1158474082.0 1159008799.0 1151337306.0 1137320930.0
8 1.0 346.91859378037054 40.60698555790418 -0.564380421265099 -0.7303654192795446 -0.31794951029173857 0.0030581538835696754 0.0016258596067397122 -0.00020052045603923606 23558886.0 69141232.0 140492887.0 228493588.0 321951196.0 411779243.0 492195894.0 560349666.0 615472308.0 658075915.0 689352318.0 710776602.0 723868497.0 730061789.0 730642159.0 726725782.0
9 1.0 138.03894677727996 -87.94305744749441 -0.564380421265099 -0.7303654192795446 -0.31794951029173857 0.0030581538835696754 0.0016258596067397122 -0.00020052045603923606 41247906.0 120828875.0 243357675.0 391192100.0 544288899.0 687431009.0 811760887.0 913624374.0 992806716.0 1051028929.0000001 1090904056.0 1115296336.0 1126967168.0 1128404114.0 1121757981.0 1108839164.0
10 1.0 285.02101370975925 48.70453473049972 -0.564380421265099 -0.7303654192795446 -0.31794951029173857 0.0030581538835696754 0.0016258596067397122 -0.00020052045603923606 41352578.0 121660395.0 245700521.0 395647863.0 551106932.0 696540447.0 822882690.0 926381404.0 1006802387.0 1065893288.0 1106315640.0 1130988769.0 1142727330.0 1144066314.0 1137196759.0 1123962106.0
11 1.0 190.40217111104562 -63.549603827932486 -0.564380421265099 -0.7303654192795446 -0.31794951029173857 0.0030581538835696754 0.0016258596067397122 -0.00020052045603923606 25323215.0 73271235.0 147463841.0 238176026.0 333842837.0 425254479.0 506667252.0 575340624.0 630632165.0 673165743.0 704220893.0 725336244.0 738074882.0 743898676.0 744110558.0 739836637.0
12 1.0 204.49604199381562 -75.68602513438397 -0.564380421265099 -0.7303654192795446 -0.31794951029173857 0.0030581538835696754 0.0016258596067397122 -0.00020052045603923606 34390652.0 98579622.0 196488382.0 314451623.0 437032357.0 552409916.0 653554572.0 737403770.0 803564727.0 853188816.0 888175606.0 910673106.0 922793213.0 926467452.0 923387615.0 914994445.0
13 1.0 333.214789785358 -73.87145383705104 -0.564380421265099 -0.7303654192795446 -0.31794951029173857 0.0030581538835696754 0.0016258596067397122 -0.00020052045603923606 44044190.0 129307448.99999999 260506734.0 418460534.0 581519359.0 733377538.0 864665154.0 971635023.0 1054219697.0 1114394438.0 1155051945.0 1179318860.0 1190183479.0 1190320139.0 1182028451.0 1167234606.0
